"","ID","starting","assoc","g","b","m0","rho_plus","rho_plus_sd","q_plus_plus","q_plus_plus_sd","growth","n_recover","prob_recover","runtime"
"40",40,0.001,FALSE,0,0.78,0.05,0.010244,0.000146556432403317,0.574270934789784,0.0317299267591874,0.000588009825252105,100,1,17.702
"41",41,0.001,FALSE,0,0.8,0.05,0.01021,0.000125930877304122,0.57352424718419,0.0332986805769531,0.000598675056198222,100,1,17.366
"42",42,0.001,FALSE,0,0.82,0.05,0.010237,0.000159958959382926,0.580302155698999,0.0330644533414034,0.000598805310265749,100,1,17.384
"43",43,0.001,FALSE,0,0.84,0.05,0.010225,0.000150671895859912,0.57237125574161,0.0322507769020972,0.000633052515117695,100,1,16.438
"44",44,0.001,FALSE,0,0.86,0.05,0.010226,0.000156747239113475,0.574468804948854,0.0302201770217183,0.000649137255124662,100,1,16.018
"45",45,0.001,FALSE,0,0.88,0.05,0.010261,0.000153672221026285,0.575105446401977,0.033802607414352,0.000660955808908227,100,1,15.766
"46",46,0.001,FALSE,0,0.9,0.05,0.010239,0.000156279340679542,0.574119653329612,0.028101871043113,0.000654903183089765,100,1,15.808
"47",47,0.001,FALSE,0,0.92,0.05,0.010231,0.000142626870688606,0.577012819331212,0.0314145177128121,0.000659716041506306,100,1,15.746
"48",48,0.001,FALSE,0,0.94,0.05,0.010253,0.000148020610085559,0.579865399560261,0.0259863007421151,0.000690448019094378,100,1,15.032
"49",49,0.001,FALSE,0,0.96,0.05,0.010254,0.000179460470873284,0.574522765659046,0.0319529930582877,0.000692930078850614,100,1,15.028
"50",50,0.001,FALSE,0,0.98,0.05,0.010251,0.000162986645049975,0.572411287572456,0.0335654012453035,0.000716136372384955,100,1,14.454
"51",51,0.001,FALSE,0,1,0.05,0.010259,0.00014570968784303,0.575575329295005,0.0318325236724028,0.000722180222797737,100,1,14.396
"52",52,0.001,FALSE,0.01,0,0.05,NA,NA,NA,NA,0,0,0,47.872
"53",53,0.001,FALSE,0.01,0.02,0.05,NA,NA,NA,NA,4.99001996007984e-08,0,0,56.09
"54",54,0.001,FALSE,0.01,0.04,0.05,NA,NA,NA,NA,1.39720558882236e-07,0,0,60.412
"55",55,0.001,FALSE,0.01,0.06,0.05,NA,NA,NA,NA,5.08982035928144e-07,0,0,72.808
"56",56,0.001,FALSE,0.01,0.08,0.05,NA,NA,NA,NA,1.11776447105788e-06,0,0,79.874
"57",57,0.001,FALSE,0.01,0.1,0.05,NA,NA,NA,NA,2.31536926147705e-06,0,0,88.18
"58",58,0.001,FALSE,0.01,0.12,0.05,NA,NA,NA,NA,4.3313373253493e-06,0,0,90.434
"59",59,0.001,FALSE,0.01,0.14,0.05,NA,NA,NA,NA,9.9500998003992e-06,0,0,93.792
"60",60,0.001,FALSE,0.01,0.16,0.05,NA,NA,NA,NA,1.57185628742515e-05,0,0,98.4
"61",61,0.001,FALSE,0.01,0.18,0.05,NA,NA,NA,NA,2.91417165668663e-05,0,0,98.388
"62",62,0.001,FALSE,0.01,0.2,0.05,0.0101333333333333,5.77350269189632e-05,0.463890506697729,0.0356260020456092,4.39139772030737e-05,3,0.03,99.192
"63",63,0.001,FALSE,0.01,0.22,0.05,0.0101352941176471,7.01888209634222e-05,0.495324135161526,0.0485038994202776,6.79832605424998e-05,17,0.17,97.626
"64",64,0.001,FALSE,0.01,0.24,0.05,0.0101528301886792,0.000108492774635183,0.494271275820305,0.0408920979429443,0.000100358338761634,53,0.53,90.552
"65",65,0.001,FALSE,0.01,0.26,0.05,0.0101670588235294,9.56036402152606e-05,0.514350512311262,0.037713137962795,0.000128669147625388,85,0.85,77.658
"66",66,0.001,FALSE,0.01,0.28,0.05,0.0101744680851064,8.15655554183406e-05,0.515690738747552,0.0410226225094597,0.000147247570061459,94,0.94,72.028
"67",67,0.001,FALSE,0.01,0.3,0.05,0.0101826530612245,9.84681749875445e-05,0.522500276593976,0.0403489027364234,0.000174517820981493,98,0.98,61.014
"68",68,0.001,FALSE,0.01,0.32,0.05,0.0101828282828283,0.000108834647132285,0.524525883445603,0.0324668156930643,0.000188618624674352,99,0.99,56.052
"69",69,0.001,FALSE,0.01,0.34,0.05,0.010159,8.17670996541924e-05,0.534196892515611,0.0384443624962546,0.000215148304458729,100,1,49.2
"70",70,0.001,FALSE,0.01,0.36,0.05,0.010167,9.85295935649836e-05,0.539445578928542,0.0358135750708307,0.000230180824729814,100,1,45.876
"71",71,0.001,FALSE,0.01,0.38,0.05,0.010189,0.000117116017760858,0.54465557013611,0.0385066818717429,0.000245816309118882,100,1,43.09
"72",72,0.001,FALSE,0.01,0.4,0.05,0.010196,0.000117996747087504,0.543918668402945,0.0361657293557219,0.000270276066628201,100,1,39.202
"73",73,0.001,FALSE,0.01,0.42,0.05,0.010192,0.000102178295348885,0.54835250918371,0.0353857647848276,0.000283679980488214,100,1,37.362
"74",74,0.001,FALSE,0.01,0.44,0.05,0.010189,0.000104344998863764,0.55330433509113,0.0338303450142723,0.00031085619775488,100,1,33.55
"75",75,0.001,FALSE,0.01,0.46,0.05,0.010186,0.000104465933744601,0.558790808424628,0.0347002462557395,0.000315263984749535,100,1,33.164
"76",76,0.001,FALSE,0.01,0.48,0.05,0.0102,0.000119764077850724,0.55262410165241,0.0350029440736085,0.000340555402303763,100,1,30.56
"77",77,0.001,FALSE,0.01,0.5,0.05,0.010195,0.000116666666666667,0.558637062724808,0.0376571576570615,0.000354380397675582,100,1,29.572
"78",78,0.001,FALSE,0.01,0.52,0.05,0.010207,0.000119978954383465,0.555896176518209,0.0390723081363485,0.00036976938923124,100,1,28.336
"79",79,0.001,FALSE,0.01,0.54,0.05,0.010192,0.000102178295348885,0.554498292453947,0.0382198496871173,0.000392878648127023,100,1,26.494
"80",80,0.001,FALSE,0.01,0.56,0.05,0.010233,0.000128750796800516,0.563854312278964,0.0382575624263547,0.000402455861825905,100,1,26.236
"81",81,0.001,FALSE,0.01,0.58,0.05,0.010201,0.000131421905220238,0.55554951272667,0.0357607809840294,0.000412895015240443,100,1,25.212
"82",82,0.001,FALSE,0.01,0.6,0.05,0.010246,0.00014028830343549,0.569533598617982,0.0384681549717852,0.000427916593449872,100,1,24.516
"83",83,0.001,FALSE,0.01,0.62,0.05,0.010213,0.000114287427837082,0.561044615994784,0.0371595202635637,0.000440849394245934,100,1,23.618
"84",84,0.001,FALSE,0.01,0.64,0.05,0.010217,0.000136370706887402,0.567288813887043,0.0370601236542063,0.000447323633571607,100,1,23.358
"85",85,0.001,FALSE,0.01,0.66,0.05,0.010233,0.000139302011848539,0.565647106242816,0.0357756180101803,0.000480988524499672,100,1,21.688
"86",86,0.001,FALSE,0.01,0.68,0.05,0.01023,0.000152752523165195,0.571708584358393,0.0372183007822863,0.00049343653726095,100,1,21.148
"87",87,0.001,FALSE,0.01,0.7,0.05,0.010246,0.000155323058575514,0.567915575624401,0.0338373878199834,0.000504735280881639,100,1,20.644
"88",88,0.001,FALSE,0.01,0.72,0.05,0.010231,0.000139040725085578,0.564414862053071,0.0283003996864579,0.000518028575836688,100,1,20.08
"89",89,0.001,FALSE,0.01,0.74,0.05,0.010228,0.0001504739985593,0.566194716038681,0.0332084173419554,0.000529861109414449,100,1,19.638
"90",90,0.001,FALSE,0.01,0.76,0.05,0.010243,0.000144428515050166,0.569809623785073,0.0342985625209616,0.000539229462027262,100,1,19.296
"91",91,0.001,FALSE,0.01,0.78,0.05,0.010242,0.000149193115989264,0.568109396527594,0.0358847626085571,0.000566044121893447,100,1,18.53
"92",92,0.001,FALSE,0.01,0.8,0.05,0.010207,0.000113043300901858,0.571231060886806,0.0307986996628785,0.000569293224087324,100,1,18.158
"93",93,0.001,FALSE,0.01,0.82,0.05,0.010228,0.000149801215083203,0.572755512323851,0.0318712422362189,0.000583318489560419,100,1,17.806
"94",94,0.001,FALSE,0.01,0.84,0.05,0.010244,0.000145171441663805,0.575898745088858,0.0320674140266459,0.000592852741313587,100,1,17.564
"95",95,0.001,FALSE,0.01,0.86,0.05,0.010213,0.000129220663200511,0.565120291953764,0.0354901500295943,0.000621734389099749,100,1,16.708
"96",96,0.001,FALSE,0.01,0.88,0.05,0.010243,0.000145126207700802,0.577058363710665,0.032277497552029,0.000619881784605187,100,1,16.784
"97",97,0.001,FALSE,0.01,0.9,0.05,0.010233,0.000142172892328782,0.573214822156356,0.0291327329157557,0.000638587744668383,100,1,16.258
"98",98,0.001,FALSE,0.01,0.92,0.05,0.010254,0.000152699612694898,0.577583213180929,0.0332673353265538,0.000641257867364625,100,1,16.27
"99",99,0.001,FALSE,0.01,0.94,0.05,0.010273,0.000179705145708016,0.578382593756585,0.0285232174872665,0.00065536267109142,100,1,15.97
"100",100,0.001,FALSE,0.01,0.96,0.05,0.010239,0.000123823758755431,0.572655455183184,0.0320403463746806,0.000653354973553148,100,1,15.972
"101",101,0.001,FALSE,0.01,0.98,0.05,0.010245,0.000140255898883852,0.573062018815186,0.0326855126926318,0.000678237832796211,100,1,15.362
"102",102,0.001,FALSE,0.01,1,0.05,0.010265,0.0001585126576216,0.577375480305257,0.0309832181416819,0.000691026124289405,100,1,15.106
"103",103,0.001,FALSE,0.02,0,0.05,NA,NA,NA,NA,0,0,0,44.202
"104",104,0.001,FALSE,0.02,0.02,0.05,NA,NA,NA,NA,2.9940119760479e-08,0,0,44.73
"105",105,0.001,FALSE,0.02,0.04,0.05,NA,NA,NA,NA,1.39720558882236e-07,0,0,51.596
"106",106,0.001,FALSE,0.02,0.06,0.05,NA,NA,NA,NA,2.49500998003992e-07,0,0,59.99
