"","ID","starting","g","b","m0","rho_plus","rho_plus_sd","q_plus_plus","q_plus_plus_sd","growth","n_recover","prob_recover","runtime"
"189",189,0.001,0.4,0.7,0.05,0.01032,0.000229975844142138,0.459426693000267,0.0510111227265239,3.236503802353e-06,10,0.1,141.344
"190",190,0.001,0.4,0.72,0.05,0.0102407407407407,0.000124836074850364,0.447369278633144,0.0351303349956054,9.22130011287487e-06,27,0.27,190.216
"191",191,0.001,0.4,0.74,0.05,0.0102733333333333,0.000206670374456914,0.468736644038482,0.0432329033550386,1.40055797169473e-05,30,0.3,151.944
"192",192,0.001,0.4,0.76,0.05,0.0102071428571429,0.000133290036260156,0.467959999176056,0.038541463772801,3.28821263333098e-05,56,0.56,136.802
"193",193,0.001,0.4,0.78,0.05,0.0102293103448276,0.000138929012151612,0.469659530079283,0.0394513057590626,4.19594372737529e-05,58,0.58,114.898
"194",194,0.001,0.4,0.8,0.05,0.0102492307692308,0.000155244843838569,0.475448880500767,0.0389139070670672,5.24185823780534e-05,65,0.65,111.082
"195",195,0.001,0.4,0.82,0.05,0.0102257142857143,0.000157595808711385,0.486523150104347,0.0399205879064263,6.33145021278093e-05,70,0.7,102.112
"196",196,0.001,0.4,0.84,0.05,0.0102285714285714,0.000154627857891423,0.480946736869268,0.0404080042738671,8.22927620363961e-05,77,0.77,86.16
"197",197,0.001,0.4,0.86,0.05,0.0102542168674699,0.000139948775314466,0.4998730686158,0.0449502018270246,0.00010147622186702,83,0.83,82.934
"198",198,0.001,0.4,0.88,0.05,0.010225,0.00014243369096474,0.504203853223223,0.0385532943319422,0.000104914242573427,88,0.88,87.98
"199",199,0.001,0.4,0.9,0.05,0.0102094117647059,0.000139406505118907,0.499726618004998,0.0404822080419816,0.000117765200020934,85,0.85,72.84
"200",200,0.001,0.4,0.92,0.05,0.01026,0.000168802790327861,0.503590128703868,0.0416548316347698,0.000134986344760884,90,0.9,71.154
"201",201,0.001,0.4,0.94,0.05,0.0102549450549451,0.000159348490397435,0.505679631058902,0.0410805071065263,0.000143244621586082,91,0.91,68.072
"202",202,0.001,0.4,0.96,0.05,0.0102333333333333,0.000142656500703552,0.51893877114986,0.0452192843831775,0.000175316174364583,96,0.96,60.502
"203",203,0.001,0.4,0.98,0.05,0.0102258064516129,0.000155970472265727,0.516864587763577,0.0439613070595099,0.000166741477962021,93,0.93,60.77
"204",204,0.001,0.4,1,0.05,0.0102731958762887,0.000183436787430488,0.520818942761265,0.0377697244240963,0.00018449496766255,97,0.97,58.296
