"","ID","protect","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p"
"116",116,0.5,0.1,0.26,0.05,3,1513.93333333333,793.150233772476,0.841534175250369,0.0507893053473263,0.00455561123104434,0.386704942138276,8.9353575482373,22,2,"DOWN",7,-0.834082638941519,0.0914623854375758,6.86940890955636e-11,0.100288167622752,0.0195825864632692,1.03657100232029e-05,NA,NA,NA
"117",117,0.5,0.1,0.28,0.05,9,1646.31111111111,784.178028964795,0.844253717730236,0.15731564773169,0.00569746037617412,0.42126424206949,2.68731933035111,36.1111111111111,2,"DOWN",7.16666666666667,-0.633792365261055,0.0237669711797506,4.09349989367956e-70,0.0998964602734095,0.00371722809278022,1.13767335171218e-70,NA,NA,NA
"118",118,0.5,0.1,0.3,0.05,9,1686.13333333333,734.296268545605,0.840082206709,0.249350896773835,0.00651420135493083,0.45415330201917,1.82232721679168,64.8888888888889,2,"DOWN",14.2517055509546,-0.759447488348139,0.0148750432043041,8.85463814230721e-149,0.0458686739099126,0.00170337360412145,1.4034518193772e-81,NA,NA,NA
"119",119,0.5,0.1,0.32,0.05,9,1792.11111111111,690.021761331562,0.846742212099748,0.319697440168804,0.00626960153778792,0.484111109847487,1.51470939426431,103,2,"DOWN",24.0728062344214,-0.707598246642943,0.00926051583571228,4.00091204049346e-231,0.0301127783905911,0.000826568243032768,2.10920560386176e-125,NA,NA,NA
"120",120,0.5,0.1,0.34,0.05,9,1247.46666666667,563.280711546206,0.847252824682639,0.382730529179855,0.00686178943155998,0.514691596049537,1.34505574368594,149,2,"DOWN",31.6148699190745,-0.6915925215451,0.00642704892623713,3.26083326255223e-322,0.0185240342556714,0.000459643243809118,4.32561184212878e-151,NA,NA,NA
"121",121,0.5,0.1,0.36,0.05,9,1322,452.590410857323,0.840453178469195,0.431583191737465,0.00685793310284649,0.542210544366249,1.25649972942112,264.222222222222,2,"DOWN",110.874679004922,-0.709330131907317,0.00485669155414393,0,0.00751599270251836,0.000239250261973907,5.34508820888023e-119,NA,NA,NA
"122",122,0.5,0.1,0.38,0.05,9,1404.73333333333,499.19336934699,0.838688201278759,0.473601454828141,0.00644142081363922,0.566714866454782,1.19669962612134,575.666666666667,2,"DOWN",280.028123587614,-0.735603431693391,0.00392411878995074,0,0.00186896301687844,0.000112625870283877,5.96668747328792e-49,NA,NA,NA
"123",123,0.5,0.1,0.4,0.05,9,1496.2,428.684895931732,0.851245023742215,0.511848142595369,0.0062411957774599,0.59087908716017,1.15447320975015,1085.22222222222,2,"DOWN",436.169628062804,-0.749748726044307,0.00364923638178382,0,0.000157795975194543,5.89420037150195e-05,0.00772865253889775,NA,NA,NA
"124",124,0.5,0.1,0.42,0.05,9,1360.28888888889,643.297428186303,0.849862881980112,0.543428241434838,0.00588947498500776,0.611741750258545,1.12575448685865,3140.11111111111,3,"PL",961.04753322149,-0.810194274382172,0.00587937930532393,1.20438204523208e-265,NA,NA,NA,NA,NA,NA
"125",125,0.5,0.1,0.44,0.05,9,1338.95555555556,570.424340099349,0.824236518229979,0.574209184296741,0.00628043286256003,0.632755395376088,1.1020033743571,4700.33333333333,4,"UP",452.561321811752,-1.00792031614174,0.012113878406165,2.18500449763375e-159,NA,NA,NA,0.00607232622159935,0.000608989867343625,2.49960870077277e-19
"126",126,0.5,0.1,0.46,0.05,9,1388.17777777778,845.66075612177,0.853742712875828,0.600019784552168,0.00616505461357005,0.651221497580916,1.08536767576885,5192,4,"UP",712.149913992833,-1.09260440052865,0.0108504762605203,8.5375585109723e-153,NA,NA,NA,0.0077190766104668,0.000535922348002149,3.33605031363021e-31
"127",127,0.5,0.1,0.48,0.05,9,1316.2,584.439226951785,0.853300312083835,0.622605375090233,0.00577148385764053,0.668087958160303,1.07307915684341,5885,4,"UP",96.1457227337753,-1.31162731888377,0.0210598518851385,1.470902248782e-91,NA,NA,NA,0.0090118115372947,0.000856531733145845,1.26818419924121e-18
