"","ID","assoc","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p","mean_p_largest","predict_largest","mismatch_PL"
"2823",2823,TRUE,0.04,0.34,0.05,10,1357.6,844.818060623443,0.854839835474268,0.582453383308346,0.0063067708883091,0.660242444904769,1.13360663179625,5170.4,4,"UP",345.405783905764,1.10420763304717,0.0125708479375462,2.39235407772151e-150,NA,NA,NA,0.00823273966796991,0.000627766936571193,4.72152825193183e-28,0.0070871722182849,12603.8058344325,-14.3912229565421
"2824",2824,TRUE,0.04,0.36,0.05,8,1910.25,1110.15067574503,0.84863202413253,0.621426986506747,0.005710593567751,0.686177144528197,1.10422974526179,5878.375,4,"UP",71.4521568203908,1.34548386608417,0.0232381783226763,1.81631176772545e-76,NA,NA,NA,0.0111045208820522,0.000882823131297204,5.11947960460573e-22,0.00881057268722467,117889.429932642,-16.4093052666089
"2825",2825,TRUE,0.04,0.38,0.05,9,1707.42222222222,1422.46618393705,0.863580173318688,0.65547456827142,0.00595148506574912,0.709623641996264,1.08264132357447,6401.44444444444,4,"UP",79.0080867872256,1.463972756775,0.0329108816984361,1.26891374677498e-61,NA,NA,NA,0.0146947155649967,0.00148821899505203,7.30787296110144e-16,0.0134730538922156,373497.129638402,-17.1377291946882
"2826",2826,TRUE,0.04,0.4,0.05,10,1425.2,1132.36815371837,0.857017236293759,0.686111629185407,0.00560696447037948,0.731084113438907,1.06556829261334,6765.5,4,"UP",78.2094765499822,1.70845519011538,0.0385956346413295,1.75871980661733e-54,NA,NA,NA,0.0200073119991678,0.00157300350950067,3.38382668193896e-20,0.0181818181818182,3498611.67515669,-19.0752099687591
"2827",2827,TRUE,0.04,0.42,0.05,10,942.2,314.571525164698,0.84279284211807,0.711286291854073,0.00574742045856328,0.749857092222751,1.05424872052564,7016.4,4,"UP",38.8707259172418,1.75237047514083,0.0524848024846233,2.44393144302679e-41,NA,NA,NA,0.0273966100115688,0.00221698763090361,2.24906163241809e-18,0.0238095238095238,5493096.30611693,-19.2566722629716
"2828",2828,TRUE,0.04,0.44,0.05,10,1356.26,609.982834366855,0.860445114888717,0.733899350324838,0.00517086066322962,0.766698949742027,1.04470545779297,7282,4,"UP",44.1940166890396,1.6843444103962,0.064641144926854,1.04493350632649e-33,NA,NA,NA,0.0368408414526631,0.0033372599750835,7.00591573360803e-16,0.0319488817891374,3201550.34300337,-18.422763830181
"2829",2829,TRUE,0.04,0.46,0.05,10,1070.64,505.877893040076,0.858685606129002,0.753806861569215,0.00504722017806952,0.782116423761622,1.03756674544396,7471.5,4,"UP",62.5570850414954,1.90650106987562,0.091091017971399,8.91561560946419e-26,NA,NA,NA,0.0466204513601582,0.00429655529578152,1.63520717520572e-14,0.0418410041841004,24246894.1341687,-20.1776775491412
"2830",2830,TRUE,0.04,0.48,0.05,10,1422.46,673.320257628815,0.856134104202502,0.771213003498251,0.00500321081823659,0.795880826628351,1.03199561902629,7672.3,4,"UP",66.0657080320629,2.03446678258287,0.137831432621837,7.62849089287974e-17,NA,NA,NA,0.0648550015379581,0.00594946073823658,5.89946232559097e-13,0.0581395348837209,80122047.2094108,-21.0439710040448
"2831",2831,TRUE,0.04,0.5,0.05,10,1221.78,537.436213889611,0.857594089324121,0.786305122438781,0.00496275261816906,0.807920229811119,1.02749817992148,7860.7,4,"UP",50.341169367957,2.50207173683582,0.193590592603944,5.05370700320048e-14,NA,NA,NA,0.0751526924501488,0.0066533627864326,1.61733163265081e-12,0.0675675675675676,5581146536.79491,-25.137287245547
"2832",2832,TRUE,0.04,0.52,0.05,10,1092.78,698.294719377937,0.857321245155763,0.799251209395302,0.00446185395106657,0.818376010147567,1.02393499058068,7978.6,4,"UP",28.166962523101,2.43560463560209,0.171566181775248,7.50702401271717e-15,NA,NA,NA,0.0902927460808616,0.00698138961349859,8.39522650845831e-14,0.0847457627118644,3188238048.84478,-24.3508337968358
